Nombre,Slug,Tipo_actual,Tipo_propuesto,Servicio_1,Servicio_2,Servicio_3
"Origin Flow - Massatges Roses - Coach nutricional i esportiu",origin-flow-massatges-roses-coach-nutric,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Oryzae Nutrición & Naturopatía",oryzae-nutricion-naturopatia,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Oxigeno Sport & Wellness",oxigeno-sport-wellness,yoga,pilates,"Yoga","Pilates",""
"Pabellón polideportivo de Nigrán",pabellon-polideportivo-de-nigran,yoga,yoga,"Yoga","Pilates",""
"Padmasana - Terapias Naturales y yoga",padmasana-terapias-naturales-y-yoga,yoga,yoga,"Yoga","Pilates",""
"Paisible Evasion",paisible-evasion,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Palasiet Wellness Clinic & Thalasso",palasiet-wellness-clinic-thalasso,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Palladium Academy",palladium-academy,yoga_meditation,pilates,"Yoga","Pilates",""
"PaolaVidāsana Yoga & Ayurveda",paolavidasana-yoga-ayurveda,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Pavelló Poliesportiu de Vinaròs",pavello-poliesportiu-de-vinaros,yoga,yoga,"Yoga","Pilates",""
"Pazo dos Deportes Paco Paz",pazo-dos-deportes-paco-paz,yoga,yoga,"Yoga","Pilates",""
"Personal & Pilates",personal-pilates,yoga,pilates,"Yoga","Pilates",""
"Physio & Pilates EKO",physio-pilates-eko,yoga,pilates,"Yoga","Pilates",""
"Physiotherapy Center Biosalud S L",physiotherapy-center-biosalud-s-l,yoga,pilates,"Yoga","Pilates",""
"Physiotherapy Ruth Mancebo",physiotherapy-ruth-mancebo,yoga,pilates,"Yoga","Pilates",""
"Physiumibz",physiumibz,yoga_meditation,pilates,"Yoga","Pilates",""
"Pilates & Yoga Pura Vida",pilates-yoga-pura-vida,yoga,yoga,"Yoga","Pilates",""
"Pilates Águilas Emmaluna",pilates-aguilas-emmaluna,yoga,yoga,"Yoga","Pilates",""
"PILATES Center Vicky Timón",pilates-center-vicky-timon,yoga,pilates,"Yoga","Pilates",""
"Pilates Curíe",pilates-curie,yoga,pilates,"Yoga","Pilates",""
"Pilates enunIMPULSO",pilates-enunimpulso,yoga,pilates,"Yoga","Pilates",""
"Pilates Experience",pilates-experience,yoga,pilates,"Yoga","Pilates",""
"Pilates Femenino Bilbao",pilates-femenino-bilbao,yoga,pilates,"Yoga","Pilates",""
"Pilates Funcional Manuela",pilates-funcional-manuela,yoga,pilates,"Yoga","Pilates",""
"Pilates Funcional María Jiménez",pilates-funcional-maria-jimenez,yoga,yoga,"Yoga","Pilates",""
"PILATES GRANADA XTENSALL",pilates-granada-xtensall,yoga,pilates,"Yoga","Pilates",""
"Pilates Huelva",pilates-huelva,yoga,yoga,"Yoga","Pilates",""
"Pilates Malaga Center",pilates-malaga-center,yoga,pilates,"Yoga","Pilates",""
"Pilates Málaga Xtensall Studio",pilates-malaga-xtensall-studio,yoga,pilates,"Yoga","Pilates",""
"Pilates Nacho Arroyo",pilates-nacho-arroyo,yoga,pilates,"Yoga","Pilates",""
"PILATES PATERNA Veronika Kovacs",pilates-paterna-veronika-kovacs,yoga,pilates,"Yoga","Pilates",""
"Pilates Peñarrubia Murcia ✅",pilates-penarrubia-murcia,yoga,pilates,"Yoga","Pilates",""
"Pilates Plus by Silvia Guidi de Knappe",pilates-plus-by-silvia-guidi-de-knappe,yoga,pilates,"Yoga","Pilates",""
"Pilates Quinta Avenida Oviedo",pilates-quinta-avenida-oviedo,yoga,yoga,"Yoga","Pilates",""
"Pilates Reformer Romina Speranza",pilates-reformer-romina-speranza,yoga,pilates,"Yoga","Pilates",""
"Pilates Soul",pilates-soul,yoga,pilates,"Yoga","Pilates",""
"Pilates Studio",pilates-studio,yoga,pilates,"Yoga","Pilates",""
"Pilates TF",pilates-tf,yoga,yoga,"Yoga","Pilates",""
"PILATES VALDEMORO",pilates-valdemoro,yoga,pilates,"Yoga","Pilates",""
"Pilates y Funcional Bahia",pilates-y-funcional-bahia,yoga,pilates,"Yoga","Pilates",""
"Pilates y tú",pilates-y-tu,yoga,yoga,"Yoga","Pilates",""
"PILATES Y YOGA CUIDATE",pilates-y-yoga-cuidate,yoga,yoga,"Yoga","Pilates",""
"Pilates y Yoga Living Room S.L",pilates-y-yoga-living-room-s-l,yoga,pilates,"Yoga","Pilates",""
"Pinar Pilates",pinar-pilates,yoga,pilates,"Yoga","Pilates",""
"Piscina Municipal",piscina-municipal,yoga,yoga,"Yoga","Pilates",""
"PlenaForma | Entrenador personal en Córdoba",plenaforma-entrenador-personal-en-cordob,yoga,yoga,"Yoga","Pilates",""
"Polideportivo de Barbadás",polideportivo-de-barbadas,yoga,yoga,"Yoga","Pilates",""
"Polideportivo la Granadilla",polideportivo-la-granadilla,yoga,yoga,"Yoga","Pilates",""
"Polideportivo Municipal La Palma del Condado",polideportivo-municipal-la-palma-del-con,yoga,yoga,"Yoga","Pilates",""
"Por Amor al Yoga",por-amor-al-yoga,yoga,yoga,"Yoga","Pilates",""
"Postural Clínica de Fisioterapia y Pilates",postural-clinica-de-fisioterapia-y-pilat,yoga,yoga,"Yoga","Pilates",""
"PRANA YOGA Y MASAJE",prana-yoga-y-masaje,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
