Nombre,Slug,Tipo_actual,Tipo_propuesto,Servicio_1,Servicio_2,Servicio_3
"Tafallako Igerilekuak",tafallako-igerilekuak,yoga,yoga,"Yoga","Pilates",""
"TAIBAI Medicina Tradicional China",taibai-medicina-tradicional-china,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Tam Studio Yoga y Pilates- Fuerteventura",tam-studio-yoga-y-pilates-fuerteventura,yoga,yoga,"Yoga","Pilates",""
"Tantric Massage - Tantra Tenerife - Masaje tantrico",tantric-massage-tantra-tenerife-masaje-t,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"TAPOVAN AYURVEDA Masajes y Reflexología Podal",tapovan-ayurveda-masajes-y-reflexologia-,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Tara Harmonia – Centre de benestar",tara-harmonia-centre-de-benestar,spa,ayurveda,"Ayurveda","Spa",""
"Tatami Spirit",tatami-spirit,yoga,yoga,"Yoga","Pilates",""
"Taube pilates Biar",taube-pilates-biar,yoga,yoga,"Yoga","Pilates",""
"Templo Gym",templo-gym,yoga,yoga,"Yoga","Pilates",""
"Templo Pilates Miriam",templo-pilates-miriam,yoga,yoga,"Yoga","Pilates",""
"Tenerfisio",tenerfisio,yoga,yoga,"Yoga","Pilates",""
"Tenerife Top Training - Elite Performance Center",tenerife-top-training-elite-performance-,yoga,pilates,"Yoga","Pilates",""
"Terapias Naturales El Ojo de Horus",terapias-naturales-el-ojo-de-horus,yoga,yoga,"Yoga","Pilates",""
"Thalassa Pilates Studio",thalassa-pilates-studio,wellness,pilates,"Pilates","",""
"The Club Fitness & Pilates Experience",the-club-fitness-pilates-experience,yoga,yoga,"Yoga","Pilates",""
"The Garden Madrid | Yoga Barrio Salamanca",the-garden-madrid-yoga-barrio-salamanca,yoga,yoga,"Yoga","Pilates",""
"THE RITUAL- Clinica de Acupuntura y Ayurveda",the-ritual-clinica-de-acupuntura-y-ayurv,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"The Wellbeing art Ibiza - Medicina Tradicional China/ Acupuntura/Masaje",the-wellbeing-art-ibiza-medicina-tradici,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"The Yoger - Yoga Salamanca",the-yoger-yoga-salamanca,yoga,yoga,"Yoga","Pilates",""
"Tierra Indigo Eleva Tu Energia",tierra-indigo-eleva-tu-energia,spa,ayurveda,"Ayurveda","Spa",""
"Tilom Patel 🏳️‍🌈",tilom-patel,yoga,yoga,"Yoga","Pilates",""
"Toni Pilates",toni-pilates,yoga,yoga,"Yoga","Pilates",""
"Tony Sport gym",tony-sport-gym,yoga,yoga,"Yoga","Pilates",""
"Top Health La Victoria | Gimnasio en el centro Córdoba",top-health-la-victoria-gimnasio-en-el-ce,yoga,yoga,"Yoga","Pilates",""
"Trèvol",trevol,yoga,yoga,"Yoga","Pilates",""
"TrueAtalaya",trueatalaya,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"TUSHALA Yoga Studio",tushala-yoga-studio,yoga,yoga,"Yoga","Pilates",""
"TuYoga.es",tuyoga-es,yoga,yoga,"Yoga","Pilates",""
"Uma Yoga Studio",uma-yoga-studio,yoga,yoga,"Yoga","Pilates",""
"Unalome Sopela Yoga",unalome-sopela-yoga,yoga,yoga,"Yoga","Pilates",""
"Unmani Yoga",unmani-yoga,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Ura Masajes y Técnicas Holísticas",ura-masajes-y-tecnicas-holisticas,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Urban Gym",urban-gym,yoga,pilates,"Yoga","Pilates",""
"Urban Yoga Studio",urban-yoga-studio,yoga,yoga,"Yoga","Pilates",""
"Urvashi Yoga Estudio",urvashi-yoga-estudio,yoga,yoga,"Yoga","Pilates",""
"VALSAM fisioterapia",valsam-fisioterapia,yoga,pilates,"Yoga","Pilates",""
"Vector Fitness",vector-fitness,yoga,yoga,"Yoga","Pilates",""
"VedaNatura",vedanatura,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Vedic healings (Ayurveda, Panchakarma & Tantra)",vedic-healings-ayurveda-panchakarma-tant,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Victoria Jourdan Massages",victoria-jourdan-massages,spa,ayurveda,"Ayurveda","Spa",""
"Victoria Sport Club & Spa",victoria-sport-club-spa,yoga,yoga,"Yoga","Pilates",""
"Vida Ayurveda",vida-ayurveda,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Vida Nova Pilates & Fitness",vida-nova-pilates-fitness,yoga,yoga,"Yoga","Pilates",""
"Vidha Hot Yoga",vidha-hot-yoga,yoga,yoga,"Yoga","Pilates",""
"Villa del Prado PHYSICAL THERAPY AND SCIENTIFIC OSTEOPATHY",villa-del-prado-physical-therapy-and-sci,yoga,pilates,"Yoga","Pilates",""
"VIP GYM IBIZA",vip-gym-ibiza,yoga,pilates,"Yoga","Pilates",""
"Vital Fitness",vital-fitness,yoga,yoga,"Yoga","Pilates",""
"VITALIS Deporte y Salud Mérida",vitalis-deporte-y-salud-merida,yoga,pilates,"Yoga","Pilates",""
"VIVE - Fisioterapia Avanzada",vive-fisioterapia-avanzada,yoga,pilates,"Yoga","Pilates",""
"Vive Yoga",vive-yoga,yoga,yoga,"Yoga","Pilates",""
"Volumen x Fitness Center",volumen-x-fitness-center,yoga,pilates,"Yoga","Pilates",""
"W Up",w-up,yoga,pilates,"Yoga","Pilates",""
"Wellnes Avenida",wellnes-avenida,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Wellness Experience Andorra",wellness-experience-andorra,yoga,yoga,"Yoga","Pilates",""
"WELLNESS MASSAGE MALLORCA | Villa & Yacht Service | only inhouse service",wellness-massage-mallorca-villa-yacht-se,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Wellness Project Pilates 1",wellness-project-pilates-1,yoga,yoga,"Yoga","Pilates",""
"Wimbi Adventures - SUP Yoga, Paddle Surf & Snorkel en Cabo de Palos",wimbi-adventures-sup-yoga-paddle-surf-sn,yoga,yoga,"Yoga","Pilates",""
"WIN Complex Esportiu Tortosa",win-complex-esportiu-tortosa,yoga,yoga,"Yoga","Pilates",""
"Wings Of Wellness Yoga",wings-of-wellness-yoga,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Xano Pilates & Yoga",xano-pilates-yoga,yoga,pilates,"Yoga","Pilates",""
"XIMNASIO BREOGÁN, C.B.",ximnasio-breogan-c-b,yoga,yoga,"Yoga","Pilates",""
"Ximnasio Neka",ximnasio-neka,yoga,yoga,"Yoga","Pilates",""
"Xperience Arena",xperience-arena,yoga,yoga,"Yoga","Pilates",""
"Xtensallconil",xtensallconil,yoga,yoga,"Yoga","Pilates",""
"XtremeGym La Cañada",xtremegym-la-canada,yoga,yoga,"Yoga","Pilates",""
"Ya! Yoga & Lifestyle",ya-yoga-lifestyle,yoga,yoga,"Yoga","Pilates",""
"Yantra Yoga & Wellness Center",yantra-yoga-wellness-center,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"YEC Pilates León",yec-pilates-leon,yoga,yoga,"Yoga","Pilates",""
"Yo Me Cuido",yo-me-cuido,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"YO. Salud Estética",yo-salud-estetica,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Yofluyo Centro",yofluyo-centro,yoga,yoga,"Yoga","Pilates",""
"Yoga & Ayurvéda Biarritz",yoga-ayurveda-biarritz,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"YOGA 108",yoga-108,yoga,yoga,"Yoga","Pilates",""
"Yoga Aéreo Malaga - Yogāsana Estudio",yoga-aereo-malaga-yogasana-estudio,yoga,yoga,"Yoga","Pilates",""
"Yoga Alliance School Maspalomas",yoga-alliance-school-maspalomas,yoga,yoga,"Yoga","Pilates",""
"Yoga Ángel Crespo",yoga-angel-crespo,yoga,yoga,"Yoga","Pilates",""
"Yoga Beckles",yoga-beckles,yoga,yoga,"Yoga","Pilates",""
"YOGA BY THE SEA BARCELONA",yoga-by-the-sea-barcelona,yoga,yoga,"Yoga","Pilates",""
"Yoga Canarias - Clases en Icod de los Vinos & Masajes en Garachico",yoga-canarias-clases-en-icod-de-los-vino,yoga,yoga,"Yoga","Pilates",""
"Yoga center in Pinto",yoga-center-in-pinto,yoga,yoga,"Yoga","Pilates",""
"Yoga Centre Flow",yoga-centre-flow,yoga,yoga,"Yoga","Pilates",""
"Yoga del Mar",yoga-del-mar,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"YOGA Dhana Escola de Ioga",yoga-dhana-escola-de-ioga,yoga,yoga,"Yoga","Pilates",""
"Yoga Eco Health • Inoah",yoga-eco-health-inoah,yoga,yoga,"Yoga","Pilates",""
"Yoga Ecuanime",yoga-ecuanime,yoga,yoga,"Yoga","Pilates",""
"YOGA EN ALMENDRALEJO LA SALITA DE YOGA - MARISA ALVAREZ",yoga-en-almendralejo-la-salita-de-yoga-m,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"YOGA EN BOADILLA I YOGA ASHRAM",yoga-en-boadilla-i-yoga-ashram,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Yoga en Ibiza",yoga-en-ibiza,yoga,yoga,"Yoga","Pilates",""
"Yoga en Móstoles - Respira Yoga",yoga-en-mostoles-respira-yoga,yoga,yoga,"Yoga","Pilates",""
"Yoga Estudio Sirsásana",yoga-estudio-sirsasana,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Yoga for Balance",yoga-for-balance,yoga,yoga,"Yoga","Pilates",""
"Yoga Ganesha Salamanca",yoga-ganesha-salamanca,yoga,yoga,"Yoga","Pilates",""
"Yoga Home Madrid",yoga-home-madrid,yoga,yoga,"Yoga","Pilates",""
"Yoga Lanzarote and Ayurvedic Massage",yoga-lanzarote-and-ayurvedic-massage,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Yoga Logroño: ESCUELA ANANDA",yoga-logrono-escuela-ananda,yoga,yoga,"Yoga","Pilates",""
"Yoga Natur | Retiros, Yoga y Montaña",yoga-natur-retiros-yoga-y-montana,yoga,yoga,"Yoga","Pilates",""
"Yoga One Pacifico",yoga-one-pacifico,yoga,yoga,"Yoga","Pilates",""
"Yoga Real",yoga-real,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Yoga Shala Donostia",yoga-shala-donostia,yoga,yoga,"Yoga","Pilates",""
"Yoga Terrassa",yoga-terrassa,yoga,yoga,"Yoga","Pilates",""
"Yoga Unlimited",yoga-unlimited,yoga,yoga,"Yoga","Pilates",""
"Yoga Weeks",yoga-weeks,yoga,yoga,"Yoga","Pilates",""
"Yoga with Joy : Yoga & Masajes",yoga-with-joy-yoga-masajes,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Yoga y Mindfulness Zaragoza",yoga-y-mindfulness-zaragoza,yoga,yoga,"Yoga","Pilates",""
"Yoga y Terapias Holísticas. Bodhicitta",yoga-y-terapias-holisticas-bodhicitta,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Yoga, Meditation and Life coaching in Maspalomas",yoga-meditation-and-life-coaching-in-mas,yoga,yoga,"Yoga","Pilates",""
"YogaConecta",yogaconecta,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"YOGAOMMM",yogaommm,yoga,yoga,"Yoga","Pilates",""
"YogaOne El Perchel",yogaone-el-perchel,yoga,yoga,"Yoga","Pilates",""
"YogaSalud",yogasalud,yoga,yoga,"Yoga","Pilates",""
"YogaSenzia - Fuengirola - Centro de Yoga - Pilates y Bienestar Interior.",yogasenzia-fuengirola-centro-de-yoga-pil,yoga,yoga,"Yoga","Pilates",""
"Yogayo",yogayo,yoga,yoga,"Yoga","Pilates",""
"Yoqui Yemayá Yoga Aeroyoga Desarrollo",yoqui-yemaya-yoga-aeroyoga-desarrollo,yoga,yoga,"Yoga","Pilates",""
"YOSOYOGA",yosoyoga,yoga,yoga,"Yoga","Pilates",""
"yuj es yoga",yuj-es-yoga,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Zarza",zarza,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"ZEN - Centro de Terapias Naturales, Yoga y Meditación",zen-centro-de-terapias-naturales-yoga-y-,yoga,yoga,"Yoga","Pilates",""
"Zen massage Armonia",zen-massage-armonia,spa,ayurveda,"Ayurveda","Spa",""
"Zensports Massage & Bodywork",zensports-massage-bodywork,yoga,yoga,"Yoga","Pilates",""
"Zentro Urban Yoga Retiro",zentro-urban-yoga-retiro,yoga,yoga,"Yoga","Pilates",""
"Zero | Entrenamiento y Fisioterapia",zero-entrenamiento-y-fisioterapia,yoga_meditation,pilates,"Yoga","Pilates",""
"Zona Fitness Lleida",zona-fitness-lleida,yoga,yoga,"Yoga","Pilates",""
